id	text_id	url	domain	y_pred	text	text_length	translation	y_true	comment
403	CLASSLA-web.mk.40729	https://okno.mk/node/63839	okno.mk	Opinion/Argumentation	Од будалетинка до диктаторче                             Груевски бил реформатор кога дошол на власт, а потоа станал диктатор? Каква е таа реторика што, гледам, провејува и во дел од прилозите на странските медиуми? Кога тоа станал диктатор, а кога бил реформатор? Кратковидоста, опортунизмот, корумпираноста и колаборационизмот на дел од опозицијата и граѓанскиот сектор, како и молкот и одобрувањето на меѓународната заедница се причини што на Груевски се гледа како на реформатор кој прераснал во диктатор. Погрешно, многу погрешно.                             Груевски секако не беше во позиција да биде диктатор кога му беше потрчко на Љубчо Георгиевски кога беше негов министер за финансии. Немаше ништо реформаторско во криминалната продажба на Рафинеријата Окта од која се инкасираа само 32 милиони евра, а се верува дека дури половината од тие пари отишле во приватни џебови.                             Продажбата на Македонска банка, меѓу првите аудио записи за кои дознавме, нема реформаторски, туку криминални елементи.                             Националната платежна картичка е уште еден коруптивен скандал "пред" тој да стане диктатор. Овој "проект" на Груевски своевремено го критикува и Михајло Маневски кој подоцна станува првиот егзекутор на македонското правосудство и негов верен послушник, заслужено наречен министер за неправда.                             Немаше ништо реформаторско ни во неговото напредување кон лидерската позиција во ВМРО-ДПМНЕ која Љубчо Георгиевски му ја подари во 2003. Според партиски извори, Груевски го сметале за будалетинка која Љубчо ќе може лесно да ја контролира. Тоа е една матна, гангстерска приказна која кулминира во пролетните месеци во хотел Панорама. Тогаш, власта во партијата Груевски ја бранеше со цевки во појасите на неговите приврзаници, наспроти приврзаниците на неговиот творец Љубчо. Против него тогаш беше и Љубе, а и "уметникот" Тони Опуштениот.                             Не можел да биде диктатор тогаш, но секако го сметале за будалетинка. И погрешиле. Тој имал јасна цел, а неговата политичко-криминална конституција никогаш не ветувала ништо добро.                             radio.spodeli.org                             	285	From a fool to dictator Gruevski was a reformer when he came to power and then became a dictator? What is the rhetoric that, I see, also in some of the foreign media reports? When did it become a dictator, and when was a reformer? The shortsight, opportunism, corruption and collaboration of part of the opposition and the civil sector, as well as the silence and approval of the international community, are the reason for Gruevski to be seen as a reformer who has grown into a dictator. Wrong, very wrong. Gruevski was certainly not in a position to be a dictator when he was leaning for Ljubco Georgievski when he was his finance minister. There was nothing reformed in the criminal sale of the OKTA refinery, which collected only 32 million euros, and it is believed that even half of that money went to private pockets. The sale of Makedonska Banka, among the first audio records we found out, has no reformer but criminal elements. The national payment card is another corrupt scandal "before" he becomes a dictator. Gruevski's "project" also criticized Mihajlo Manevski, who later became the first executioner of the Macedonian judiciary and his faithful obedient, deservedly called the Minister of Injustice. There was nothing reformed in his advancement to the leadership position in VMRO-DPMNE that Ljubco Georgievski donated to him in 2003. According to party sources, Gruevski considered him a fool that Ljubco could easily control. It is a blurry, gangster story that culminates in the spring months at the Panorama Hotel. Then, Gruevski's government defended the pipes in the belts of his supporters, as opposed to supporters of his creator Ljubco. Ljube was against him, and "artist" Tony relaxed. He could not be a dictator then, but certainly considered him a fool. And they were wrong. He had a clear goal, and his political-criminal constitution never promised anything good. radio.spodeli.org	Opinion/Argumentation	Or News
2249	CLASSLA-web.hr.225355	http://www.gkc-petrinja.hr/biblosam/preglednaslov.php?idknjige=34417	gkc-petrinja.hr	Prose/Lyrical	U namjeri da se prisjeti tko je zapravo i što je jednom bio, dir Moros luta bespućima u pratnji Ree Renon i Faana. Želeći otkriti istinu o svom podrijetlu, sumnjajući da tu zagonetku krije upravo Čuvar Tajne, on će krenuti u potragu za ovim bićem koje kod linitskog naroda ima status božanstva jer je po njihovu uvjerenju, kao namjesnik vrhovnog boga Kinela, koji je Araton dodijelio ljudima, i sam besmrtan. Opterećen osjećajem krivnje da je naudio Aratonu, dir Moros pokušat će probiti pukotinu u zidu koja razdvaja njegova dva života, a svako će novo prisjećanje biti plaćeno krvlju...                             	98	In order to remember who he really was and what he was once, Dir Moros wanders the drones, accompanied by Reenon and Faan. Wanting to reveal the truth about his origin, suspected that the puzzle hides the secretary of the secret, he will go in search of this being, which has the status of a deity with the Linita people, because according to their belief, he is a governor of the supreme god of Kinel, who has assigned Aragon to people, and I'm immortal. Loaded by a sense of guilt that he has hurt Arathon, Dir Moros will try to break through a crack in a wall that separates his two lives, and each new memory will be paid for blood ...	Prose/Lyrical	
2680	CLASSLA-web.hr.265086	http://metro-portal.hr/vodeca-imena-glazbene-industrije-na-exitu-2010/44206?m=0	metro-portal.hr	News	POČEO FESTIVAL                             Vodeća imena svjetske glazbene scene na Exitu 2010.                             U četvrtak navečer na Petrovaradinskoj tvrđavi pokraj Novog Sada nastupom skupine "Ringišpil" počeo je najveći glazbeni festival jugoistočne Europe "Exit 2010"                             Četverodnevna glazbena manifestacija trajat će do nedjelje, 11. srpnja i na njoj će nastupiti oko 600 izvođača na 25 festivalskih bina. Festival će službeno otvoriti poznati sastav "Bad Brains" u 21 sat. Potom slijedi elektronički pank disko sastav "LCD Soundsystem", a glavna atrakcija večeri pjevač Mika će se na sceni pojaviti točno u ponoć.                             Vodeća imena ovogodišnjeg EXIT-a su, kako prenose mediji u Vojvodini, britanski elektro dvojac "The Chemical Brothers", jedan od najtraženijih bendova na ovim prostorima "Faith No More", željno očekivani "Placebo", popularna hip hop pjevačica Missy Elliot, čuvena drum'n'bass skupina "Pendulum live", itd.                             Na "dance" areni publiku očekuju DJ David Guetta, Laidback Luke, A-Trak, Dirty South, Black Rose, dok za one koji vole tvrđi zvuk, na "Eksploziv" bini nastupit će Behemoth, Suicidal Tendencies, The Exploited, Ex Deo, Decapitated, Inspector Cluso...                             Kao i prijašnjih godina, najviše posjetitelja očekuje se iz Velike Britanije, oko 10.000, isto toliko dolazi iz regije, a veliki interes ove godine za novosadski festival vlada u Nizozemskoj i skandinavskim zemljama, ističu organizatori. Oni kažu da ove godine veliki broj ljudi dolazi iz Australije i s Novog Zelanda, kao i iz Južne Amerike - Brazila i Argentine. "I pored krize uspjeli smo mnogobrojnim pogodnosti privući inozemne posjetitelje", kazala je predstavnica EXIT tima Marija Jocić.                             	232	The festival of the leading names of the World Music Scene on Exit 2010 on Thursday night at the Petrovaradin Fortress near the new Sad performance of the Ringišpil group began the largest music festival of Southeast Europe "Exit 2010" a four -day music event will run until Sunday, July 11 about 600 performers will perform at 25 festival stages. The festival will officially open the famous Bad Brain band at 9pm. This is followed by an electronic punk disc -band "LCD Soundsystem", and the main attraction of the evening singer Mika will appear on the scene at midnight. The leading names of this year's EXIT are, according to the media in Vojvodina, the British electric duo "The Chemical Brothers", one of the most sought after bands in this area "Faith No More", eagerly expected "Placebo", popular hip hop singer Missy Elliot, famous drum'n'bass group "Pendulum Live", etc. On "Dance" Arena is expected by DJ DAVID Guetta, Laidback Luke, A-TRAK, Dirty South, Black Rose, while for those who love the harder sound, on "explosive" stage Behemoth, suicidal tendencies, The Exploited, Ex Part will perform, Decapitated, Inspector Cluso ... As in previous years, most visitors are expected from the UK, about 10,000, the same comes from the region, and this year's great interest in the Novi Sad Festival this year Government in the Netherlands and Scandinavian countries, the organizers point out. They say that this year a large number of people are coming from Australia and from New Zealand, as well as from South America - Brazil and Argentina. "Despite the crisis, we were able to attract foreign visitors with numerous benefits," said the exit team of Marija Jocic.	News	
3355	CLASSLA-web.hr.333932	http://metro-portal.hr/tags/view/sminkanje?m=0	metro-portal.hr	Instruction	Tag: šminkanje                             Šminkanje je nekima pravi pravcati ritual koji traje, drugima je tlaka (ali i obaveza), no i jedni i drugi ponekad se nađu u nezgodnoj situaciji - žele izgledati lijepo i odmorno, ali... više »                             Isto tako naša koža i kosa zbog vjetra, hladnoće i manjka vlage u zraku trebaju novu 'odjeću' za jesen. Evo nekoliko beauty trikova. 1. Potamnite kosu - Tamnija kosa lakše se... više »                             Kada moderni kozmetički preparati ne djeluju ljudi posežu za drevnom narodnom medicinom ili bakinim savjetima kako bi održali i naglasili svoju prirodnu ljepotu. Mnogi od tih savjeta zvuče... više »                             Prvo i osnovno pravilo za ugodno i sigurno nošenje kontaktnih leća je održavanje pravilne higijene. Važno je slijediti upute oftalmologa ili inženjera očne optike kako bi se izbjegle... više »                             	125	TAG: Makeup makeup is a real straightforward ritual that lasts, others are pressure (but also an obligation), but both sometimes find themselves in an awkward situation - they want to look beautiful and rest, but ... more "also our skin and Due to the wind, cold and deficiency, hair needs new 'clothes' for the fall. Here are some beauty tricks. 1. Dark hair - darker hair easier ... More »When modern cosmetic preparations do not seem to seem people reach for ancient folk medicine or grandmother's advice to maintain and emphasize their natural beauty. Many of these tips sound ... more »The first and basic rule for a comfortable and safe wearing of contact lenses is to maintain proper hygiene. It is important to follow the instructions of an ophthalmologist or an eye optics engineer to avoid ... more »	Problematic	Bad machine translation; otherwise Information/Explanation
3836	CLASSLA-web.mk.378842	http://arhiva.sdsm.org.mk/print.aspx?eventId=14862	arhiva.sdsm.org.mk	Other	Да изготвиме и потпишеме декларација со која најостро ќе го осудиме насилството меѓу младите                             Прес конференција, СДММ Дарко Давитковски, претседател Скопје, 12.03.2012 година                             Почитувани,                             Секој политички подмладок во Македонија треба да даде свој придонес за стабилизација на состојбите.                             Бидејќи не можеме и не сакаме да стоиме на страна и да гледаме како Владата не успева преку државните институции соодветно да делува, брзо да ги расчисти досегашните и да превенира случување на нови инциденти со меѓуетничка димензија меѓу младите, СДММ денес излегува со конкретна инцијатива.                             Предлагаме, веднаш, подмладоците на сите политички партии да седнеме и заеднички низ дијалог да изготвиме и потпишеме декларација со која најостро ќе го осудиме насилството меѓу младите.                             Наша одговорност е да испратиме јасна, силна и заедничка порака дека, за нас како политички подмладоци врвен приоритет е соживотот, толеранцијата, меѓусебното разбирање и почитување, без разлика на половата, верската, етничка и политичка припадност.                             Во вакви кризни моменти, имаме обврска да покажеме дека можеме да ги надминеме партиските и идеолошки разлики, да излеземе од тесно партиските интереси, заради иднината на државата и генерации кои доаѓаат.                             Затоа во оваа прилика ја информира јавноста дека предлог - текстот за декларацијата ќе го доставам до претседателите на сите политички подмладоци и ќе им предложам во петок во салата на Градското собрание во Скопје да се сретнеме да го утврдиме конечниот текст на декларацијата и да го потпишеме.                             	217	To prepare and sign a declaration that will strongly condemn the violence among the young press conference, SDMM Darko Davitkovski, President Skopje, 12.03.2012 Dear, every political offspring in Macedonia should contribute to stabilization of the situation. Since we cannot and do not want to stand aside and see how the government fails through state institutions to act properly, quickly clear up the current and prevent the event of new incidents with inter -ethnic dimension among young people, SDMM today comes out with a concrete initiative. We propose, immediately, the offspring of all political parties to sit down and jointly draft and sign a declaration that will strongly condemn the violence among young people. It is our responsibility to send a clear, strong and common message that for us as political offspring top priority is coexistence, tolerance, mutual understanding and respect, regardless of gender, religious, ethnic and political affiliation. At such crisis, we have an obligation to show that we can overcome party and ideological differences, get out of the narrow party interests, because of the future of the state and generations to come. Therefore, on this occasion, I inform the public that I will submit the draft text for the declaration to the presidents of all political offspring and propose to them on Friday in the Hall of the City Hall in Skopje to meet the final text of the Declaration and to sign it.	Opinion/Argumentation	
4330	CLASSLA-web.mk.425293	https://www.brif.mk/namalena-pobaruvachkata-za-stanovi-uk/	brif.mk	News	Намалена побарувачката за станови, укажуваат агенциите за недвижности                             Од Групацијата на агенции за недвижности при Стопанската комора на Македонија велат дека во моментот во државата има поголем број непродадени станови и оти повеќе граѓаните се интересираат за купување помали станови.                             – Се купуваат скромни, помали станчиња за да може да се стартува со нешто свое, изјави претседателката на Групацијата Лилјана Ковачева, која додава дека падот на цените е предизвикан од зголемената понуда на становите и во одредена мера намалената побарувачка.                             Од Групацијата бараат и донесување на посебен закон за посредување во промет со недвижности со кој би се предложило дел од прометот да оди преку овластени друштва, лиценцирање на агентите, а и градежните компании да имаат обучени вработени за продажба.                             – Сите членки на Европската унија имаат вакви закони. Донесувањето на еден ваков закон и кај нас ќе ја подобри климата за работа, а и граѓаните ќе знаат дека соработуваат со професионалци, смета Ковачева.                             Вести од категоријата                             	152	Demand for housing decreased, real estate agencies from the Group of Real Estate Agencies at the Economic Chamber of Macedonia say that there are more unsold apartments in the country and that more citizens are interested in buying smaller housing. "They are buying modest, smaller stones to be able to start with something," said Group President Liljana Kovacheva, who adds that the fall in prices has been caused by the increased supply of apartments and to some extent reduced demand. The group also demands that a special law on real estate mediation that would propose part of the turnover to go through authorized companies, licensing agents, and construction companies to have trained sales employees. - All members of the European Union have such laws. The adoption of such a law will improve the climate in our country, and the citizens will know that they are cooperating with professionals, says Kovacheva. Category news	News	
4388	CLASSLA-web.hr.430724	http://www.forza-fiume.com/forum/index.php/topic,1187.150.html?PHPSESSID=93eoudfoofvpbhur58r4k0pi1f	forza-fiume.com	Forum	inace se ne bavim gradnjom i sadnjom travnjaka, ali ne bi li trebalo ispod pijeska i iznad "nesto"                             Da, koliko vidim nije se dodatno kopalo i postavilo odvodne kanale (iako je upitno da li je to moguce izvesti na Kantridi bez malo vecih zahvata) i deblji drenazni sloj. Skinuo se stari sloj i umjesto njega novi,sto znaci da ce se opet za koju godinu sve trebati ponoviti. E sada te godine na Kantridi znaju potrajati pa mozda sve skupa i nije crno. :wink:                             možda ovu "rekonstrukciju" sufinancira i pula jer bi njihovi zmajčeki trebali igrati na kantridi par tekmi... pa bacanje kugle, pa bacanje kladiva, pa kamena s ramena... nema sreće za taj naš travnjak...                             A čitam malo ova "razmišljanja" naših vrlih inžinjera i sve nešto izbjegavam ali...                             Da uklonimo dileme! Stavljene su od ispod cijevi za odvod vode + pvc kanali. I razvučeno je novo navodnjavanje! Jedino je nekima očito problem što nisu pozvani i upoznati sa projektom radova! Pa da da budu oni koji nadgledaju! Bojim se da bi i tada ustanovili da su cijevi koje su postavljene loše kvalitete ili slično! :roll: Uglavno sve će biti napravljeno istom tehnologijom kako su pripremali travnjake u Njemačkoj za svjetsko prvenstvo 2006! Jedini je problem što nema tog travnjaka na kome se održavaju utakmice i treninzi a da ostane živ! Dakle pošto naše primadone nemogu trenirati na pomoćnom za tri do četri mjeseca kad nova trava ode u qurac ( s čime je uprava upoznata),naši vrli "inžinjeri" će opaliti po Obiju ,Gradu itd. Tipo ko je strpao pare u đep i slično! Sve u svemu ništa novo! :roll:                             a kamo su te cijevi spojene ako nije kopana tartan staza , mora nekud voda ići                             A prijatelju nije ti ovo Bosna! Pa dole dva metra ilovače! Dole ti je ispod kamen , a još ispod more! :wink: Za inžinjere podatak: nivo terena je na 3 metra nadmorske visine! :idea:                             a čemu im onda služe drnažne cijevi ako nikud neidu                             Sad ti je rekao da idu u more?                             iovako i onako bi završilo, u moru?                             ili u nekoj buži ispod stadiona (ako je ima) pa onda negdje u kini u nekom njihovom slanom jezeru na putu svile.                             umjesto da su napravili rezervar iz kojeg bi se kisnica vukla za zalijevanje! ali to je balkan: "Sta ce nam kada imamo izvore vode koji nikada ne presusuju!"                             Neznam sta sam napravio time da sam napisao da NEZNAM KAKO SE TO INACE RADI ALI PRETPOSTAVLJAM da bi trebalo ??                             nemože to tako, treba spojiti drenažne cijevi tamo prema moru na neku ili već postojeću ili novu instalaciju odvoda koji je smisao drenažnih cijevi ako ne da pokupi vodu i što prije ju odveze nekamo                             	436	Otherwise, I do not deal with the construction and planting of the lawn, but whether it should be under the sand and above the "something" yes, as far as I can see, it has not been further digging and setting out drainage channels (although it is questionable whether it is possible to perform it on the Cantrida without a little major intervention) and a thicker drainage layer. The old layer took off and a new one instead of it means that again in a year everything will be repeated. Now that year on Kantrida they can last, so it may be all together and it's not black. : wink: Maybe this "reconstruction" co -finances Pula as their dragons should play on the cantrida couple of matches ... so throwing a ball, and throwing a betting, so stone from shoulder ... No luck for that lawn ... and I read A little bit of this "thinking" of our virtuous engineers and avoid everything but ... to remove the dilemmas! They were placed from under the water drainage pipe + PVC ducts. And new irrigation has been stretched! Only some are obviously a problem that they are not invited and familiar with the project project! So to be those who supervise! I am afraid that even then they would find that the pipes that are set in poor quality or the like! : Roll: All will be done by the same technology how they prepared lawns in Germany for the 2006 World Cup! The only problem is that there is no lawn where matches and training are held and to stay alive! So since our primadons cannot train on the auxiliary for three to four months when the new grass goes to Qurac (which the administration is introduced to), our virtuous "engineers" will decline by both, etc. Tipo who has put money in the puree and the like! All in all nothing new! : roll: And where these pipes are connected if it is not a tartan trail digging, there must be some water to go and this is not Bosnia to your friend! Well down two meters of loam! You get under the stone and still under the sea! : wink: For engineers data: The ground level is at 3 meters above sea level! : Idea: And then what do they serve the driving pipes if they have nowhere to be told to go to the sea? I would end up, in the sea? Or in a buzz under the stadium (if any) and then somewhere in China in some of their salty lake on the path of silk. Instead of making a reservoir from which rain would be dragged for watering! But it is the Balkans: "What will we have when we have water sources that never solve!" I don't know what I did by writing that I don't know how to do it otherwise but I guess it should ?? It can't do this, you need to connect drainage pipes there to a sea on a or an already existing or new installation of drainage that is a sense of drainage pipes if he doesn't pick up water and take it as soon as possible	Forum	Hard to understand
4567	CLASSLA-web.sl.448016	https://kuzek.si/video-psicka-resi-zivljenje-zapuscenemu-novorojencku/	kuzek.si	Opinion/Argumentation	To, da so psi izredno sočutna bitja, pogosto celo bistveno bolj kot ljudje, ve marsikateri skrbnik psa. Kako brezpogojna je njihova empatija, pa dokazuje ganljiva zgodba o herojski psički iz Argentine, ki je rešila življenje zapuščenemu novorojenčku tako, da ga je vzela pod svoje okrilje. Brezdomna psička, ki so jo poimenovali China, je ravno skotila šest svojih mladičkov, ko je iz bližnjega smetnjaka zaslišala jok novorojenčka, ki ga je njegova štirinajstletna mati zavrgla. Psičkin neverjetni materinski instinkt je novorojenčka rešil gotove smrti. Nekako ji je uspelo prenesti dojenčka v svoje leglo, ne da bi ga pri tem poškodovala. Kmalu po tem so dojenčkov jok zaslušali tudi sosedje, ki so poskrbeli, da je deček dobil zdravstveno oskrbo in da bo z njim vse v najlepšem redu. Za to pa se lahko zahvali pasji mamici, ki je dokazala, da pasja ljubezen res ne pozna meja.                             Privacy Preference Center                             	145	The fact that dogs are extremely compassionate beings, often even more much more than humans, know many dog ​​caretakers. How unconditional their empathy is is evidenced by the moving story of the hero puppy from Argentina, who saved the life of an abandoned newborn baby by taking it under her wing. The homeless puppy, named China, just gave birth to six of her puppies when she heard a newborn baby cry from a nearby trash, which his fourteen -year -old mother discarded. The puppy's incredible maternal instinct saved the newborn baby certain deaths. Somehow, she managed to transfer the baby to her litter without damaging him. Shortly afterwards, the infant's crying was also due to neighbors, who made sure the boy received medical care and that everything would be in the best order. For this, you can thank the dog's mother who has proven that dog love really knows no boundaries. Privacy Preferences Center	Opinion/Argumentation	
4589	CLASSLA-web.hr.450145	https://www.klubskascena.hr/aktualno/fokus/18-impresivnih-fotografija-zlatnog-doba-nase-scene-1999-2003-17122017	klubskascena.hr	Other	Otvorili smo arhivu fotografija s partija od 1999. pa nadalje. Jedni to zovu old school vremenima dok drugi zlatno doba scene.                             Naša party galerija uključuje preko 30000 fotografija od juga prema sjeveru od istoka prema zapadu Hrvatske + radove iz Slovenije, BiH i Srbije. U arhivi na webu još uvijek nisu objavljeni svi foto zapisi, pa smo odabrali neke koji će Vas zasigurno zanimati. Kako su prije izgledali partiji i naši omiljeni DJ-i, klubovi, promotori; kakva je bila moda i slično. Srpanj/kolovoz 1999. Evolution Funk festival na splitskom Žnjanu. Svirali su Jeff Mills, Sonic, Dan Briggs, Jean-Marie K., Mr.C, Pero-Fullhouse i mnogi drugi. Fotografija Jeff Millsa i publike u šatoru. Ožujak 2002. Laurent Garnier u Ambasadi Gavioli Listopad 2002. Marco Bailey u klubu Night (Vodice) Studeni 2002. Carl Cox u Aurori Jel Ford u klubu F1 Trogir Siječanj 2003. Tim Taylor u klubu Discovery Split Ožujak 2003. Oxia u dubrovačkom Exodusu Travanj 2003. Dave Clarke u zagrebačkom The Bestu Umek u primoštenskoj Aurori                             	162	We have opened the archives of photos from the Party since 1999. Onwards. Some call it Old school times while the other golden age of the scene. Our party gallery includes over 30000 photographs from south to north from East to the west of Croatia + works from Slovenia, BiH and Serbia. Not all photo records have been published in the web archive, so we have chosen some that will surely interest you. What the Party and our favorite DJs, clubs, promoters; What was the fashion and the like. July/August 1999. Evolution Funk Festival in Split Žnjan. They played Jeff Mills, Sonic, Dan Briggs, Jean-Marie K., Mr.C, Pero-Fullhouse and many others. Photo by Jeff Mills and the audience in the tent. March 2002. Laurent Garnier in the Gavi Gavioli Ambassy October 2002. Marco Bailey at the Night (Vodice) Club November 2002. Carl Cox in Aurora Jel Ford at the F1 Trogir January 2003 Tim Taylor at the Discovery Split March 2003 Club in Dubrovnik Exodus April 2003 . Dave Clarke in the Zagreb's The Best Umek in Primosten Aurora	Promotion	
5258	CLASSLA-web.mk.513175	http://www.forum.idividi.com.mk/forum_posts.asp?TID=19640&amp;PN=48	forum.idividi.com.mk	Forum	Темата "Лагите на сатаната" е преместена oд пдф Свет во пдф Вероисповед.                             Темата "Фер и нефер однесување" од пдф Вероисповед преместена е во пдф Право.                             makedoonski jazikkk отворена од Bagiiii во спорт, во подфорум Формула 1 е затворена.                             Ги замолувам членовите да се малку посериозни.                             Благодарам.                             Темата Друштво за заштита на животните ''Фауна''-Струмица,од пдф хуманост префрлена во пдф животински и растителен свет                             Темата TSU-Социјална мрежа која ви плаќа префрлена од Разно во Интернет                             Темата КонК*рс за полицајци од разно преместена во Образование.                             calling for urgent action on climate change" оригинално постиран на пдф Вероисповед префрлен е на пдф Наука, тема "Глобалното затоплување предизвикано од луѓе?"                             Отворив нова тема Инвестиции во Прилеп, и сите постови од таа област од темата Прилеп ги префрлив таму.                             Темата "18 000 денари плата во бесцаринска зона" од пдф "Политика и вести" префрлена е во пдф "Бизнис и економија".                             ЛДП ќе достави предлог закон за легализација на марихуаната за медицински цели                             Коментарот од пдф Медицина преместен е во пдф Право.                             	152	The theme "Satan's lies" has been moved by the PDF world in the PDF faith. The theme "Fair and unfair behavior" of the PDF faith has moved to the PDF right. Makedoonski Jazikk Opened by Bagiiii in Sport, Formula One sub -forum is closed. I ask the members to be a little more serious. Thank you. Theme Animal Protection Company '' Fauna ''-Strumica, from PDF humanity transferred to PDF animal and flora Topic TSU-Social Network that pays you transferred from a variety of CONK*Rs for police officers from a variety of moved to education. Calling for Urgent Action on Climate Change "originally posted on PDF faith has been transferred to PDF science, the theme" Global warming caused by people? "I opened a new topic in Prilep, and all posts in that area of ​​Prilep have transferred. 18 000 denars salary in duty -free zone "by PDF" Politics and News "has been transferred to PDF" Business and Economics ".	Problematic	Not a coherent text
